"","Y","X","Plot.Number","Plot.ID","Fire","Year","Study"
"1",4728151.72,527104.9692,1,"CR1","Marten Creek",2018,"Intensive"
"2",4727138.002,526995.2653,2,"CR2","Marten Creek",2018,"Intensive"
"3",4727814.767,526628.294,3,"CR3","Marten Creek",2018,"Intensive"
"4",4727602.372,527131.2862,4,"CR4","Marten Creek",2018,"Intensive"
"5",4732133.17,526839.4879,5,"CR5","Marten Creek",2018,"Intensive"
"6",4730465.187,526525.7962,6,"CR6","Marten Creek",2018,"Intensive"
"7",4731854.996,526569.1452,7,"CR7","Marten Creek",2018,"Intensive"
"8",4728988.879,526332.198,8,"CR8","Marten Creek",2018,"Intensive"
"9",4728586.228,526466.6016,9,"CR9","Marten Creek",2018,"Intensive"
"10",4729448.064,526598.7615,10,"CR10","Marten Creek",2018,"Intensive"
"11",4731442,527227,11,"CR11_New","Marten Creek",2018,"Intensive"
"12",4728865.86,527216.5657,12,"CR12","Marten Creek",2018,"Intensive"
