X,Y,Transect,Location,timestamp
527170.886201459,4727357.00483338,Base01,25,2024/07/30 14:40:11.000
527125.536390908,4727249.92976413,Base02,25,2024/07/30 15:52:59.000
526814.547412009,4729221.97216913,Base03,25,2024/08/01 10:11:46.000
526811.582288473,4729226.00156976,Base04,25,2024/08/01 11:11:53.000
526786.757186132,4731714.77116894,Base05,25,2024/08/01 13:04:13.000
526843.51009153,4732860.65012226,Base06,25,2024/08/01 15:58:36.000
527046,4731273,Trans01,0,2024/07/19
527072,4731230,Trans01,50,2024/07/19
527053,4731173,Trans01,100,2024/07/19
527326,4731795,Trans02,0,2024/07/19
527312,4731755,Trans02,50,2024/07/19
527301,4731712,Trans02,100,2024/07/19
527420,4731754,Trans03,0,2024/07/19
527420,4731712,Trans03,50,2024/07/19
527408,4731671,Trans03,100,2024/07/19
526828.327584516,4730031.11400913,Trans04,0,2024/07/29 09:59:43.000
526796.696462718,4729998.178377,Trans04,50,2024/07/29 09:54:27.000
526757.972191108,4729968.51065302,Trans04,100,2024/07/29 09:52:39.000
526884.073980418,4729963.71593995,Trans05,0,2024/07/29 11:27:09.000
526846.176283603,4729936.46601531,Trans05,50,2024/07/29 12:30:48.000
526807.637280286,4729909.99409104,Trans05,100,2024/07/29 12:34:41.000
526681.967701542,4730289.26711765,Trans06,0,2024/07/29 13:08:04.000
526652.506481946,4730259.40847362,Trans06,50,2024/07/29 14:26:15.000
526622.422316609,4730218.14640549,Trans06,100,2024/07/29 14:35:47.000
526585.989030295,4730344.32335883,Trans07,0,2024/07/29 15:49:58.000
526571.495882248,4730295.37055515,Trans07,50,2024/07/29 15:57:23.000
526557.178257581,4730249.90524339,Trans07,100,2024/07/29 16:04:46.000
526576.019792881,4728922.77854134,Trans08,0,2024/07/29 18:26:43.000
526537.743968877,4728890.78869643,Trans08,50,2024/07/29 18:34:14.000
526504.924419574,4728855.56655356,Trans08,100,2024/07/29 18:39:20.000
527099.593717427,4727181.79412421,Trans09,0,2024/07/30 10:33:12.000
527052.548097803,4727181.62464737,Trans09,50,2024/07/30 10:45:01.000
526999.952820395,4727180.27233876,Trans09,100,2024/07/30 10:53:04.000
527054.255591081,4727368.95136455,Trans10,0,2024/07/30 11:49:24.000
527006.072283724,4727368.565005,Trans10,50,2024/07/30 11:57:18.000
526955.533329702,4727373.6177706,Trans10,100,2024/07/30 12:03:05.000
527169.183088359,4727458.0556088,Trans11,0,2024/07/30 13:04:12.000
527173.314510477,4727512.48208246,Trans11,50,2024/07/30 13:09:42.000
527177.41518486,4727560.5378697,Trans11,100,2024/07/30 13:15:01.000
526784.091754709,4729385.87829141,Trans12,0,2024/07/30 18:01:14.000
526738.326967814,4729408.60414854,Trans12,50,2024/07/30 18:04:56.000
526708.150585636,4729442.54480221,Trans12,100,2024/07/30 18:10:17.000
